Stations-ID;Stationsname;Bundesland;von;bis;Hoehe;geoBreite;geoLaenge
2708;Kohlgrub, Bad (Rosshof);Bayern;20060701;20150324;740;47,6652;11,0804
2667;Köln-Bonn;Nordrhein-Westfalen;19600101;20150324;92;50,8646;7,1575
2968;Köln-Stammheim;Nordrhein-Westfalen;20081201;20150324;43;50,9895;6,9779
2680;Königshofen, Bad;Bayern;20050601;20150324;288;50,2841;10,4456
2712;Konstanz;Baden-Württemberg;19710101;20150324;443;47,6774;9,1901
2700;Kösching;Bayern;20041201;20150324;417;48,8301;11,4872
2704;Köthen (Anhalt);Sachsen-Anhalt;20040501;20150324;76;51,7515;12,0079
4301;Kreuznach, Bad;Rheinland-Pfalz;20050301;20150324;102;49,8502;7,871
13711;Krölpa-Rockendorf;Thüringen;20071201;20150324;280;50,6813;11,515
2750;Kronach;Bayern;20051101;20150324;312;50,2524;11,3208
314;Kubschütz, Kr. Bautzen;Sachsen;20040501;20150324;232;51,1605;14,5037
2773;Kümmersbruck;Bayern;20020101;20150324;417;49,4283;11,9016
2794;Kyritz;Brandenburg;19890101;20150324;40;52,9363;12,4093
2796;Laage (Flugplatz);Mecklenburg-Vorpommern;20020101;20150324;40;53,9156;12,279
2812;Lahr;Baden-Württemberg;19950101;20150324;155;48,3647;7,828
2829;Landsberg (Flugplatz);Bayern;19660101;20150324;621;48,0772;10,9144
13710;Landshut-Reithof;Bayern;20080401;20150324;490;48,5734;12,2574
2843;Langen (BTZ);Hessen;19900719;20150324;125;50,0075;8,6547
2856;Langenlipsdorf;Brandenburg;20040701;20150324;91;51,9173;13,0878
7419;Langenwetzendorf-Göttendorf;Thüringen;20061201;20150324;390;50,661;12,0757
2886;Laupheim;Baden-Württemberg;20020101;20150324;539;48,2176;9,9097
867;Lautertal-Oberlauter;Bayern;19470101;20150324;345;50,3067;10,968
2905;Lechfeld;Bayern;20020101;20150324;550;48,1849;10,8507
2907;Leck;Schleswig-Holstein;19910101;20150324;7;54,7903;8,9514
2925;Leinefelde;Thüringen;19560101;20150324;356;51,3933;10,3123
2932;Leipzig/Halle;Sachsen;19720501;20150324;131;51,4348;12,2396
2928;Leipzig-Holzhausen;Sachsen;19510101;20150324;138;51,3151;12,4462
2947;Lennestadt-Theten;Nordrhein-Westfalen;20061001;20150324;286;51,1334;8,0352
2951;Lenzen/Elbe;Brandenburg;20040601;20150324;20;53,1007;11,4864
2953;Lenzkirch-Ruhbühl;Baden-Württemberg;20070401;20150324;852;47,8597;8,2308
102;Leuchtturm Alte Weser;Niedersachsen;20020101;20150131;32;53,8617;8,1266
2961;Leuchtturm Kiel;Schleswig-Holstein;20020101;20150324;5;54,4996;10,2737
7403;Leutkirch-Herlazhofen;Baden-Württemberg;20070330;20150324;672;47,7955;10,0324
2985;Lichtenhain-Mittelndorf;Sachsen;19910305;20150324;321;50,9383;14,2093
5797;Lichtentanne;Sachsen;20051201;20150324;353;50,688;12,4328
7099;Liebenburg-Othfresen;Niedersachsen;20041101;20150324;187;52,0111;10,3966
3015;Lindenberg;Brandenburg;19510101;20150324;98;52,2085;14,118
3023;Lingen;Niedersachsen;19510101;20150324;22;52,5181;7,3081
3028;Lippspringe, Bad;Nordrhein-Westfalen;19710401;20150324;157;51,7855;8,8388
3031;Lippstadt-Bökenförde;Nordrhein-Westfalen;20040701;20150324;92;51,6334;8,3943
3032;List auf Sylt;Schleswig-Holstein;19490101;20150324;26;55,011;8,4125
3034;Lobenstein, Bad;Thüringen;20070101;20150324;500;50,4505;11,635
3042;Löhnberg-Obershausen;Hessen;20080601;20150324;230;50,5624;8,2391
6336;Lohr/Main-Halsbach;Bayern;20051101;20150324;285;50,0133;9,6539
3044;Löningen;Niedersachsen;20070701;20150324;22;52,7216;7,7463
3083;Lübben-Blumenfelde;Brandenburg;20050101;20150324;57;51,9267;13,8797
3086;Lübeck-Blankensee;Schleswig-Holstein;19850301;20150324;16;53,8025;10,6988
3093;Lüchow;Niedersachsen;19541201;20150324;17;52,9724;11,1374
3098;Lüdenscheid;Nordrhein-Westfalen;19940101;20150324;387;51,2452;7,6425
6337;Lüdinghausen-Brochtrup;Nordrhein-Westfalen;20040801;20150324;59;51,7663;7,5193
6197;Lügde-Paenbruch;Nordrhein-Westfalen;20020101;20150324;258;51,8664;9,2709
3126;Magdeburg;Sachsen-Anhalt;19550101;20150324;76;52,1029;11,5826
3137;Mainz-Lerchenberg (ZDF);Rheinland-Pfalz;20080501;20150324;195;49,9672;8,2108
